"word","freq"
"great",3397
"trump",1736
"thank",1451
"just",1448
"people",1399
"obama",1226
"new",1134
"now",1096
"thanks",1064
"big",978
"get",952
"america",928
"time",912
"make",865
"good",840
"country",816
"can",802
"many",790
"president",764
"today",757
"one",727
"never",723
"barackobama",673
"going",671
"hillary",661
"must",633
"much",625
"news",593
"back",580
"last",560
"really",553
"bad",538
"think",538
"china",521
"see",519
"jobs",503
"tonight",493
"job",491
"want",491
"even",488
"night",479
"work",475
"world",451
"win",450
"clinton",449
"deal",448
"obamacare",441
"donald",440
"day",439
"years",439
"best",431
"said",428
"cont",427
"show",424
"trump2016",422
"media",420
"american",420
"way",407
"made",402
"watch",389
"know",387
"vote",385
"first",373
"–",372
"better",369
"’s",368
"national",365
"fake",363
"hard",359
"democrats",355
"look",350
"election",348
"interview",347
"year",347
"makeamericagreatagain",347
"ever",346
"tax",342
"money",342
"amazing",340
"total",338
"true",338
"need",337
"keep",337
"campaign",335
"take",333
"right",333
"love",333
"state",331
"looking",325
"record",323
"crooked",322
"poll",318
"congratulations",317
"happy",316
"always",315
"golf",314
"tomorrow",307
"done",304
"forward",304
"house",303
"well",302
"trade",302
"another",300
"got",299
"border",296
"nice",293
"000",291
"mittromney",291
"nothing",290
"cnn",289
"stop",287
"foxnews",286
"debate",286
"enjoy",284
"military",280
"republicans",276
"honor",271
"business",271
"wonderful",270
"united",269
"states",267
"give",266
"morning",266
"long",265
"believe",264
"totally",263
"soon",261
"russia",261
"celebapprentice",260
"also",259
"foxandfriends",257
"success",256
"wow",255
"everyone",254
"join",252
"say",248
"republican",247
"remember",247
"strong",246
"north",244
"support",244
"don’t",243
"getting",243
"making",240
"york",237
"working",237
"two",237
"fantastic",237
"yesterday",236
"security",236
"come",235
"every",234
"real",232
"nbc",229
"economy",229
"things",228
"tough",228
"far",226
"guy",226
"iran",225
"ratings",225
"bill",224
"together",223
"washington",221
"smart",221
"terrible",221
"speech",221
"apprentice",221
"entrepreneurs",221
"let",219
"next",217
"place",216
"live",213
"story",209
"iowa",208
"meeting",207
"high",207
"history",207
"course",205
"book",204
"government",203
"massive",203
"discussing",203
"crime",202
"run",201
"john",200
"sad",200
"put",199
"help",197
"hope",196
"others",195
"party",194
"lost",193
"million",193
"florida",192
"illegal",192
"korea",191
"fbi",190
"gop",190
"top",189
"wants",188
"immigration",188
"crowd",187
"numbers",186
"dems",186
"white",184
"coming",184
"americans",182
"major",181
"office",181
"wrong",181
"failing",180
"beautiful",180
"called",180
"special",179
"change",178
"star",178
"wall",176
"luck",176
"taxes",175
"won",175
"cruz",175
"women",174
"congress",173
"use",172
"times",171
"open",171
"miss",171
