"date","tweet","client","year","hour","time","month"
"Sep 26 2018 12:31:40 PM","RT @PeteHegseth: This @realDonaldTrump speech to the #UNGA should be required viewing in American high schools. A beautiful articulation of…","[Twitter for iPhone]",2018,12,"PM","09"
"Sep 26 2018 12:28:54 PM","RT @newtgingrich: President Trump’s United Nations speech today is a remarkable outline of the power of patriotism, the importance of natio…","[Twitter for iPhone]",2018,12,"PM","09"
"Sep 24 2018 05:53:04 PM","RT @realDonaldTrump: Brett Kavanaugh and his wife, Ashley, will be interviewed tonight at 7pmE on @marthamaccallum @FoxNews. This is an out…","[Twitter for iPhone]",2018,5,"AM","09"
"Sep 24 2018 09:13:22 AM","RT @SCEMD: Now is the time to put safety first above everything else. Evacuate to a shelter if you need to, take your pets with you. Your l…","[Twitter for iPhone]",2018,9,"AM","09"
"Sep 21 2018 10:13:26 PM","RT @RSBNetwork: President @realDonaldTrump absolutely packs the house at JQH Arena in Springfield, MO. #TrumpRally #RedWave https://t.co/1c…","[Twitter for iPhone]",2018,10,"AM","09"
"Sep 21 2018 10:11:53 PM","RT @dcexaminer: ""We are standing up for your values,"" Trump said closing his rally in Springfield, Missouri. ""We are standing up for our na…","[Twitter for iPhone]",2018,10,"AM","09"
"Sep 21 2018 10:09:52 PM","RT @juliehdavis: For 2nd night in row at Trump rally (tonite in Springfield, last nite in Las Vegas), crowd spontaneously breaks into cheer…","[Twitter for iPhone]",2018,10,"AM","09"
"Sep 21 2018 10:09:25 PM","RT @FoxBusiness: .@POTUS: ""The stock market is up 55%... Your 401(k)s are up 50, 60, 70% in some cases."" https://t.co/g38SD65pMW","[Twitter for iPhone]",2018,10,"AM","09"
"Sep 21 2018 03:26:58 PM","RT @W7VOA: View of the line outside Las Vegas Convention Center of those waiting to get into the @realDonaldTrump #MAGA rally. (Photos sent…","[Twitter for iPhone]",2018,3,"AM","09"
"Sep 21 2018 03:25:20 PM","RT @RamonaGiwargis: The crowd roars as @realDonaldTrump takes the stage. Says he’s thrilled to be back in Ne-vah-da. “You have to say that…","[Twitter for iPhone]",2018,3,"AM","09"
"Sep 21 2018 03:24:20 PM","RT @MikeTokes: What an amazing Trump rally in Las Vegas, Nevada. There must have been over 10,000 people here and trust me when I say it, w…","[Twitter for iPhone]",2018,3,"AM","09"
"Sep 21 2018 03:24:14 PM","RT @MikeTokes: We are outside the Trump rally in Las Vegas. There are THOUSANDS of conservatives here and the line extends all the way arou…","[Twitter for iPhone]",2018,3,"AM","09"
"Sep 21 2018 03:23:11 PM","RT @NVGOP: Energy and excitement for President @realDonaldTrump and his #AmericaFirst agenda is through the roof! #MAGA https://t.co/KNywCE…","[Twitter for iPhone]",2018,3,"AM","09"
"Sep 21 2018 03:22:11 PM","RT @GOP: “We’re fighting every day for our factories, our ranchers, our great miners, our farmers, and we are now the largest producer of e…","[Twitter for iPhone]",2018,3,"AM","09"
"Sep 21 2018 03:21:27 PM","RT @LindseyGrahamSC: Great job tonight by President @realDonaldTrump in Las Vegas laying out how strong America has become economically and…","[Twitter for iPhone]",2018,3,"AM","09"
"Sep 21 2018 08:34:19 AM","RT @trueamerica1st: @realDonaldTrump https://t.co/w7EBsA5aTT","[Twitter for iPhone]",2018,8,"AM","09"
"Sep 21 2018 08:33:16 AM","RT @trueamerica1st: https://t.co/02E9bG17Mf","[Twitter for iPhone]",2018,8,"AM","09"
"Sep 17 2018 04:48:08 AM","RT @fema: Rain from #Florence these next few days will cause flooding in many parts of the Carolinas. Expect flash flooding at any time and…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:47:32 AM","RT @DHSgov: If you see something, tell local authorities who or what you saw; when you saw it; where it occurred; and why it's suspicious.…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:47:07 AM","RT @CBPFlorida: 🇺🇸@CBP personnel and assets are in place responding with @fema. Aircrews and teams🚁🚤 from across the country are staging at…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:46:51 AM","RT @Edison_Electric: While customers may not see electric company personnel in their neighborhoods, the energy grid is heavily interconnect…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:46:14 AM","RT @femaregion4: Listen to your local officials and only return when they say it is safe to do so. #Florence #FlorenceNC https://t.co/5nFHB…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:46:00 AM","RT @uscgmidatlantic: #USCG crews have coordinated the rescue of 57 people and 8 pets so far! #hurricaneFlorence https://t.co/YsfJXPFbwU","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:45:45 AM","RT @USCG: We know how much you love your pets and want to keep them safe from flooding. 🐶 #HurricaneFlorence #Florence https://t.co/kfzNsx1…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:45:33 AM","RT @SecNielsen: Just finished briefing @POTUS, @VP, @WhiteHouse homeland security team on Hurricane #Florence w @FEMA_Brock. The entire fed…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:45:05 AM","RT @scdhec: Protect yourself and your family. Don't use a portable generator, grill, camp stove, or improperly vented heater indoors. It ca…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:44:51 AM","RT @CDCgov: Power outage after the storm? DON’T run a generator, motor vehicle or any gasoline-powered engine less than 20 feet from an ope…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:44:47 AM","RT @NCDOT: This is the type of flooding much of our state is encountering. Travel is not safe, if not impassable! Help us keep limited rout…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:44:15 AM","RT @fema: Our Urban Search & Rescue teams, along with @USCG & @NationalGuard, have been supporting local responders for #Florence water res…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:43:28 AM","RT @SecNielsen: I will be traveling to #NorthCarolina tomorrow to meet with state and local leadership responding to #Florence, and to ensu…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:43:10 AM","RT @DeptofDefense: #Pets are family, too. 🐶 @SCNationalGuard #soldiers conduct ongoing rescue and recovery efforts to help those affected b…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:42:54 AM","RT @Norad_Northcom: ""I would like to highlight the incredible work that is being done by the state & local first responders. We are posture…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:41:57 AM","RT @SCNationalGuard: #SCGuard Soldiers w/4-118 Combined Arms Battalion conducted high water rescue & evacuation in Chesterfield County S.C…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:40:16 AM","RT @FEMAespanol: #Florence sigue causando inundaciones repentinas y tornados. Manténgase seguro y asegúrese de recibir actualizaciones por…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 17 2018 04:39:15 AM","RT @FEMAespanol: Por favor comparta este mensaje de seguridad y exhorte a todos estar pendientes a las predicciones del clima. #Florence co…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 16 2018 12:39:05 PM","RT @FoxNews: .@DevinNunes: “I think full transparency is in order here.” #SundayFutures @MariaBartiromo https://t.co/RmjFNRysWN","[Twitter for iPhone]",2018,12,"PM","09"
"Sep 15 2018 07:50:51 PM","RT @fema: ⚡️ “Hurricane Florence Response” Disaster response requires teamwork and coordination at all levels. Check out the incredible t…","[Twitter for iPhone]",2018,7,"AM","09"
"Sep 15 2018 03:30:46 PM","RT @NCEmergency: New Evacuation Orders are in place. Go to https://t.co/Yx3twhyOqj to see if you are in an area with a mandatory or volunte…","[Twitter for iPhone]",2018,3,"AM","09"
"Sep 14 2018 04:42:32 PM","RT @fema: Over 1,150 @FEMA Urban Search and Rescue personnel are integrated with state & local teams in NC, SC, & VA to help with rescues a…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 14 2018 04:34:15 PM","RT @NOAASatellites: #GOESEast captured these two dramatic views of #HurricaneFlorence shortly after the storm made landfall near Wrightsvil…","[Twitter for iPhone]",2018,4,"AM","09"
"Sep 14 2018 12:04:12 PM","RT @DeptofDefense: More than 7,000 #ServiceMembers, @USNationalGuard and #ActiveDuty, are standing by to assist as #HurricaneFlorence hits…","[Twitter for iPhone]",2018,12,"PM","09"
"Sep 14 2018 11:44:56 AM","RT @NCEmergency: Use these resources to get help or more info. For emergencies, call 911. To receive info on shelters, evacuations & storm…","[Twitter for iPhone]",2018,11,"AM","09"
"Sep 14 2018 08:29:42 AM","RT @NCEmergency: #FlorenceNC safety tips: - STAY INDOORS. Do not venture out during the storm. - Do NOT drive or walk through stagnant or m…","[Twitter for iPhone]",2018,8,"AM","09"
"Sep 14 2018 06:37:48 AM","RT @USNationalGuard: Today, nearly 3,000 National Guard members from Guam, Hawaii, Maryland, North Carolina, South Carolina and Virginia ar…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 14 2018 06:35:40 AM","RT @fema: We have created a rumor control page for Hurricane #Florence that will be updated regularly. During disasters, it’s critical to a…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 14 2018 06:35:02 AM","RT @FEMAespanol: Hoy es el último día para desalojar. Si está en la ruta de #Florence, escuche a las autoridades locales para órdenes de de…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 14 2018 06:34:26 AM","RT @RedCross: We are on the ground helping prepare for #HurricaneFlorence. More than 1,600 people spent last night in 36 Red Cross and comm…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 14 2018 06:33:46 AM","RT @HHSGov: If you're ordered to evacuate ahead of #HurricaneFlorence: ➡️ Take only essential items ➡️ Turn off the gas, electricity, an…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 14 2018 06:33:31 AM","RT @fema: If you're in a mandatory evacuation zone for #Florence, your window of time to leave is closing rapidly. Here are the zones for S…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 14 2018 06:33:11 AM","RT @NHC_Atlantic: Do not focus on the wind speed category of #Hurricane #Florence! Life-threatening storm surge flooding, catastrophic fla…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 14 2018 06:32:35 AM","RT @RedCross: More than 1,500 Red Cross disaster workers are helping #HurricaneFlorence relief efforts. Some 80 emergency response vehicles…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 14 2018 06:32:18 AM","RT @DHSgov: For those in the path of Hurricane #Florence, make sure you have downloaded your states (SC, NC, VA) official emergency app + t…","[Twitter for iPhone]",2018,6,"AM","09"
"Sep 14 2018 06:31:46 AM","RT @DHSgov: North Carolina iTunes: https://t.co/ikyhB27ZO8 Google Play: https://t.co/qfFgjM7C03 Virginia iTunes: https://t.co/Eu4YVGqFsh G…","[Twitter for iPhone]",2018,6,"AM","09"
